"filename", "language", "Python", "JSON", "Database", "comment", "blank", "total"
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\Statistic.db", "Database", 0, 0, 17, 0, 0, 17
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\commands.py", "Python", 30, 0, 0, 0, 9, 39
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\enums.py", "Python", 21, 0, 0, 0, 5, 26
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\main.py", "Python", 295, 0, 0, 0, 90, 385
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\quotes.json", "JSON", 0, 8, 0, 0, 0, 8
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\quotes.py", "Python", 6, 0, 0, 0, 2, 8
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\saved_statistic.json", "JSON", 0, 4, 0, 0, 1, 5
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\server.py", "Python", 37, 0, 0, 0, 12, 49
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\statistics_1.py", "Python", 24, 0, 0, 0, 8, 32
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\terminal.py", "Python", 17, 0, 0, 0, 4, 21
"Total", "-", 430, 12, 17, 0, 131, 590
